"(Intercept)","interaction","log(pred_g)","log(prey_g)","log(temp_C)","log(pred_g):log(prey_g)","log(pred_g):log(temp_C)","log(prey_g):log(temp_C)","AICc"
-6.06709773881781,"+",1.4408829630727,0.265026023946582,1.77996629244181,NA,-0.393822800851082,NA,657.162787210495
-7.33020814467075,NA,1.37942793546006,0.322331393703044,1.86520875958599,NA,-0.383153426002774,NA,658.793350422436
-7.71002607293896,"+",1.70678520515061,0.0518528344442963,2.41821812652791,NA,-0.501404146780592,0.0862032062396439,658.884779422064
-6.16236192320561,"+",1.47503858322431,0.267050919781529,1.82206850470501,-0.000893759359296437,-0.409664642737883,NA,659.453355350335
-9.06484057289819,NA,1.68576131862818,0.066020029551011,2.62481421028239,NA,-0.508859493159144,0.106598287166416,660.123636705045
-7.42242702587072,NA,1.44021755066035,0.329783991790089,1.94145331429536,-0.00188350550701871,-0.412874116966263,NA,660.982471799048
-4.03498458479562,"+",0.451081619741007,0.263354720635256,0.984662179804581,0.0118908979492491,NA,NA,661.111192955219
-7.85568734832306,"+",1.75603634235426,0.0526395738436765,2.4819241891604,-0.00122655674950358,-0.524094384630934,0.0869938183073131,661.199490454259
-1.54095204018233,"+",0.445397839428333,0.290901819277763,NA,0.014406254134614,NA,NA,661.978883130022
-9.2349767665047,NA,1.77482806707336,0.0696509618707777,2.74491438184347,-0.00250426404158793,-0.551644404637475,0.109046112134051,662.308928570158
-4.67805019635893,NA,0.381692415756203,0.358809379905908,1.02697840267059,0.00969960800115788,NA,NA,662.722375961544
-4.15390151760015,NA,0.246166987522387,0.422839890992599,1.19268935952248,NA,NA,NA,662.881544147762
-4.40908103475072,"+",0.288888924302821,0.320766843853437,1.25307289959296,NA,NA,NA,662.926088770276
-2.7226145155028,"+",0.357535171692684,0.601203694202523,0.55924272903294,NA,NA,-0.12211382151802,662.947172145825
-3.37276630831843,"+",0.454471007537755,0.392747404163853,0.7296611731589,0.00994957925150716,NA,-0.0523689574902467,663.097933448804
-1.24175278358518,NA,0.352186490431957,0.426894780672913,NA,0.0114961221270046,NA,NA,663.837293507857
-3.38043968908361,NA,0.291292513945344,0.605913705493246,0.745926250365751,NA,NA,-0.0809410039005577,664.122250030837
-8.85937035860513,"+",1.8799828790871,NA,2.34732954532597,NA,-0.491469321058683,NA,664.309113446527
-4.43087762604443,NA,0.388131535120063,0.43014903312611,0.885566831975245,0.00875613543422068,NA,-0.0312989281565277,664.848781278154
-0.457881978090554,NA,0.197791528644166,0.471000112755849,NA,NA,NA,NA,665.72161038208
-1.10484103900706,"+",0.23564126989637,0.374186449459395,NA,NA,NA,NA,665.927684885728
-12.9681312885151,NA,1.96708588981481,NA,2.68668922595635,NA,-0.527983913573749,NA,666.99740217197
0.50144899838172,NA,NA,0.56975203099183,NA,NA,NA,NA,671.817623229735
-1.4774062889069,NA,NA,0.569853264300847,0.743751469441296,NA,NA,NA,671.910675092133
-2.4732036482577,NA,NA,0.424734110576423,1.11476287616978,NA,NA,0.0526553008359017,673.557821223034
-0.0779627808342779,"+",NA,0.555631033780068,NA,NA,NA,NA,673.971074200213
-7.58445730446239,"+",0.485724078999527,NA,1.80110231814206,NA,NA,NA,674.236333334447
-1.56397029974686,"+",NA,0.549791685794894,0.598471840973226,NA,NA,NA,674.954080816744
-2.53051695862437,"+",NA,0.407721045192078,0.961180193128905,NA,NA,0.0518166472855007,676.680106838415
-10.7478139615349,NA,0.489838989029606,NA,2.02772689253228,NA,NA,NA,678.227305841479
-3.26579614937792,"+",0.454784077307186,NA,NA,NA,NA,NA,682.566468489872
-5.28029240307131,NA,0.46916254456562,NA,NA,NA,NA,NA,690.867454052847
-7.66588768674702,"+",NA,NA,1.12465706177801,NA,NA,NA,731.489623320036
-3.67379033380773,"+",NA,NA,NA,NA,NA,NA,732.253351686096
-9.95952268323535,NA,NA,NA,1.5862387230278,NA,NA,NA,736.350154324732
-5.66678311921562,NA,NA,NA,NA,NA,NA,NA,740.537615788014
